Models,	Context Window,	Input Cost / 1M tokens,	Output Cost / 1M tokens
Gemini 1.5 Flash,	1000000,	$0.35,	$0.70
Gemini 2.0 Flash (Exp),	1000000,	NULL,	NULL
AWS Nova Pro,	300000,	$0.0008,	$0.0032
AWS Nova Lite,	300000,	$0.00006,	$0.00024
AWS Nova Micro,	300000,	$0.000035,	$0.00014
Claude 3 Opus,	200000,	$15.00,	$75.00
Claude 3 Sonnet,	200000,	$3.00,	$15.00
Claude 3 Haiku,	200000,	$0.25,	$1.25
Claude 3.5 Sonnet,	200000,	$3,	$15
Claude 3.5 Haiku,	200000,	$0.80,	$4
Qwen2.5-72b,	131000,	$0.4,	$0.75
GPT-4 Turbo,	128000,	$10.00,	$30.00
Gemini 1.5 Pro,	128000,	$7,	$21
GPT4o,	128000,	$5,	$15
GPT-4o mini,	128000,	$0.15,	$0.60
OpenAI o1,	128000,	$15,	$60
OpenAI o3-mini,	128000,	$1.10,	$4.40
DeepSeek V3,	128000,	$0.27,	$1.1
DeepSeek R1,	128000,	$0.55,	$2.19
GPT 4.5,	128000,	$25,	$150
OpenAI o1-mini,	64000,	$1.10,	$4.40
GPT-4-32k,	32000,	$60.00,	$120.00
Gemini Pro,	32000,	$0.125,	$0.375
Mistral Medium,	32000,	$2.7,	$8.1
Mistral Large,	32000,	$8.00,	$24.00
GPT-3.5 Turbo,	16000,	$0.5,	$1.5
Mistral Small,	16000,	$2.00,	$6.00
GPT-4,	8000,	$30.00,	$60.00
GPT-3.5 Turbo Instruct,	4000,	$1.5,	$2.00